Date,Month,Year,Title,Director,Cast,Genre,Budget,Box Office
19,May,2017,Hindi Medium,Saket Chaudhary,"Irrfan Khan , Saba Qamar","Comedy,Drama",230,696
19,May,2017,Jattu Engineer,"Gurmeet Ram Rahim Singh, Honeypreet Insan","Gurmeet Ram Rahim Singh, Sukhottam Insan",Comedy,0,0
5,May,2017,Mantostaan,Rahat Kazmi,"Raghubir Yadav, Virendra Saxena , Sonal Sehgal","Anthology,Drama",50,0.7
12,May,2017,Meri Pyaari Bindu,Akshay Roy,"Ayushmann Khurrana , Parineeti Chopra",Romance,220,96
26,May,2017,Sachin: A Billion Dreams,James Erskine,Sachin Tendulkar,Biopic,350,509
12,May,2017,Sarkar 3,Ram Gopal Varma,"Amitabh Bachchan, Jackie Shroff, Amit Sadh , Yami Gautam",Political crime Thriller,350,99.4
26,May,2017,Thodi Thodi Si Manmaaniyan,Aditya Sarpotdar,"Arsh Sehrawat, Shrenu Parikh, Shilpa Tulaskar , Mukesh Tiwari",Romance,0,0
2,Jun,2017,A Death in the Gunj,Konkona Sen Sharma,"Vikrant Massey, Ranvir Shorey, Kalki Koechlin, Tillotama Shome, Gulshan Devaiah, Tanuja, Om Puri, Jim Sarbh, Arya Mitra Sharma","Crime,Drama",100,9.5
9,Jun,2017,Bachche Kachche Sachche,Ravi Sadasiv,"Ekta Singh, Ashish Vidyarthi , Mukesh Tiwari","Children,Drama",15,0.11
16,Jun,2017,Bank Chor,Bumpy,"Riteish Deshmukh, Vivek Oberoi , Rhea Chakraborty","Comedy,Thriller",150,74
9,Jun,2017,Behen Hogi Teri,Ajay K Pannalal,"Rajkummar Rao , Shruti Haasan","Romance,Comedy",150,20
2,Jun,2017,Dear Maya,Sunaina Bhatnagar,Manisha Koirala,"Thriller,Drama",100,2
2,Jun,2017,Dobaara: See Your Evil,Prawaal Raman,"Huma Qureshi , Saqib Saleem",Horror,100,19.5
30,Jun,2017,Ek Haseena Thi Ek Deewana Tha,Suneel Darshan,"Shiv Darshan, Natasha Fernandez , Upen Patel",Romance,100,12.5
2,Jun,2017,Flat 211,Sunil Sanjan,"Jayesh Raj , Sonal Singh","Suspense,Mystery",0,0
9,Jun,2017,G Kutta Se,Rahul Dahiya,"Rajbeer Singh , Neha Chauhan",Drama,0,0
2,Jun,2017,Hanuman: Da' Damdaar,Ruchi Narain,"Salman Khan, Raveena Tandon , Kunal Khemu","Animation, Comedy",100,14
9,Jun,2017,Love You Family,Sachindra Sharma,"Salman Yusuff Khan, Aksha Pardasany , Shakti Kapoor",Drama,0,0
9,Jun,2017,Raabta,Dinesh Vijan,"Sushant Singh Rajput, Kriti Sanon , Jim Sarbh","Romance,Thriller",500,257
2,Jun,2017,Sweetiee Weds NRI,Hasnain Hyderabadwala,"Himansh Kohli, Zoya Afroz , Darshan Jariwala","Romance,Comedy",100,1.5
23,Jun,2017,Tubelight,Kabir Khan,"Salman Khan, Sohail Khan , Zhu Zhu","Action,Drama",1000,1193
7,Jul,2017,Guest Iin London,Ashwni Dhir,"Kartik Aaryan, Kriti Kharbanda, Paresh Rawal , Tanvi Azmi",Comedy,250,106.5
28,Jul,2017,Indu Sarkar,Madhur Bhandarkar,"Anupam Kher, Neil Nitin Mukesh, Kirti Kulhari, Tota Roy Chowdhury, Supriya Vinod, Sheeba Chaddha, Parvin Dabas",Drama,100,49.5
14,Jul,2017,Jagga Jasoos,Anurag Basu,"Ranbir Kapoor , Katrina Kaif","Comedy,Romance",750,551
21,Jul,2017,Lipstick Under My Burkha,Alankrita Shrivastava,"Konkona Sen Sharma, Ratna Pathak Shah , Aahana Kumra","Sex,Drama",70,192.5
7,Jul,2017,Mom,Ravi Udyawar,"Sridevi, Akshaye Khanna, Sajal Ali , Nawazuddin Siddiqui","Thriller,Drama",400,373
28,Jul,2017,Mubarakan,Anees Bazmee,"Anil Kapoor, Arjun Kapoor, Ileana D'Cruz , Athiya Shetty","Comedy,Romance",700,556
21,Jul,2017,Munna Michael,Sabbir Khan,"Tiger Shroff, Nidhhi Agerwal , Nawazuddin Siddiqui","Action,Romance",400,329
28,Jul,2017,Raag Desh : Birth Of A Nation,Tigmanshu Dhulia,"Kunal Kapoor, Amit Sadh , Mohit Marwah","Period Drama,Action",100,6.5
14,Jul,2017,Shab,Onir,"Raveena Tandon, Sanjay Suri, Ashish Bisht, Arpita Pal, Simon Frenay, Raj Suri, Gaurav Nanda",Drama,50,2.2
25,Aug,2017,A Gentleman,Raj and D.K.,"Sidharth Malhotra, Jacqueline Fernandez, Darshan Kumar, Suniel Shetty","Action,Romance",600,260
25,Aug,2017,Babumoshai Bandookbaaz,Kushan Nandy,"Nawazuddin Siddiqui, Bidita Bag, Jatin Goswami, Shraddha Das, Anil George, Bhagwan Tiwari, Jeetu Shivhare, Murali Sharma, Divya Dutta, Sachin Chaubey",Action,140,131.5
18,Aug,2017,Bareilly Ki Barfi,Ashwini Iyer Tiwari,"Ayushmann Khurrana, Rajkummar Rao, Kriti Sanon","Comedy,Romance",220,345
4,Aug,2017,Gurgaon,Shanker Raman,"Akshay Oberoi, Ragini Khanna, Pankaj Tripathi, Aamir Bashir, Shalini Vatsa, Srinivas Sunderrajan",Thriller,45,67
4,Aug,2017,Jab Harry Met Sejal,Imtiaz Ali,"Shah Rukh Khan, Anushka Sharma, Evelyn Sharma , Chandan Roy Sanyal",Romance,800,643.5
18,Aug,2017,Partition: 1947,Gurinder Chadha,"Hugh Bonneville, Gillian Anderson, Manish Dayal, Huma Qureshi , Michael Gambon",Drama,0,0
