Release Date,Month,Title,Director,Cast,Genre,Studio,Budget,Box Office
01,Sep,Shubh Mangal Savdhan,R.S. Prasanna,"Ayushmann Khurrana, Bhumi Pednekar, Brijendra Kala, Shubhankar Tripathi, Anshul Chauhan, Anmol Bajaj","Drama,Comedy",Colour Yellow Productions and Eros International,240,431
08,Sep,Daddy,Ashim Ahluwalia,"Arjun Rampal, Aishwarya Rajesh, Nishikant Kamat, Anand Ingale, Rajesh Shringarpure, Purnanand Wandekar, Anupriya Goenka, Shruti Bapna, Usha Naik, Shrikant Yadav, Deepak Damle, Raj Arjun, Vijay Sanap, Abhimanyu Arun","Crime,Drama",Kundalini Entertainment,150,81
08,Sep,Poster Boys,Shreyas Talpade,"Sunny Deol, Shreyas Talpade, Bobby Deol, Sonali Kulkarni, Randheer Rai, Dilip Prabhavalkar, Elli AvrRam Special Appearance In A Song, Samiksha Bhatnagar, Bharati Achrekar",Comedy,"Sony Pictures Networks Productions, Sunny Sounds Pvt. Ltd. and Affluence Movie Pvt. Ltd.",250,127.5
15,Sep,Lucknow Central,Ranjit Tiwari,"Farhan Akhtar, Diana Penty, Deepak Dobriyal, Gippy Grewal, Ronit Roy, Inaamulhaq, Rajesh Sharma",Drama,Viacom 18 Motion Pictures,320,112
15,Sep,Patel Ki Punjabi Shaadi,Sanjay Chhel,"Rishi Kapoor, Paresh Rawal, Vir Das, Prem Chopra, Payal Ghosh, Jinal Belani, Divya Seth, Bharati Achrekar, Tiku Talsania, Shilpa Shinde","Comedy,Drama",Bholenath Movies and Cinekorn Entertainment,0,0
15,Sep,Simran,Hansal Mehta,"Kangana Ranaut, Sohum Shah, Hiten Kumar, Kishori Shahane, Rupinder Nagra",Drama,T Series and Paramhans Creations Entertainments,300,172.5
22,Sep,Bhoomi,Omung Kumar,"Sanjay Dutt, Aditi Rao Hydari, Sidhant Gupta","Action,Drama",T Series and Legend Studios,300,106.5
22,Sep,Haseena Parkar,Apoorva Lakhia,"Shraddha Kapoor, Sharman Joshi, Siddhanth Kapoor, Rajesh Tailang, Satendra Bagasi, Ankur Bhatia",Biographic Thriller,Swiss Entertainment,250,80.5
22,Sep,JD,Shailendra Pandey,"Govind Namdev, Aman Verma, Vedita Pratap Singh, Lalit Bisht, Arvind Gaur","Drama,Thriller",Shailendra Pandey Films,0,0
22,Sep,Newton,Amit Masurkar,"Rajkummar Rao, Pankaj Tripathi, Anjali Patil, Raghuvir Yadav",Dark Comedy,Drishyam Films,140,228
