,Release Date,Title,Director,Cast,Genre,Studio
78,01-Sep,Shubh Mangal Savdhan,R.S. Prasanna,"Ayushmann Khurrana, Bhumi Pednekar, Brijendra Kala, Shubhankar Tripathi, Anshul Chauhan, Anmol Bajaj","Drama,Comedy",Colour Yellow Productions and Eros International
79,08-Sep,Poster Boys,Shreyas Talpade,"Sunny Deol, Shreyas Talpade, Bobby Deol, Sonali Kulkarni, Randheer Rai, Dilip Prabhavalkar, Elli AvrRam Special Appearance In A Song, Samiksha Bhatnagar, Bharati Achrekar",Comedy,"Sony Pictures Networks Productions, Sunny Sounds Pvt. Ltd. and Affluence Movie Pvt. Ltd."
80,08-Sep,Daddy,Ashim Ahluwalia,"Arjun Rampal, Aishwarya Rajesh, Nishikant Kamat, Anand Ingale, Rajesh Shringarpure, Purnanand Wandekar, Anupriya Goenka, Shruti Bapna, Usha Naik, Shrikant Yadav, Deepak Damle, Raj Arjun, Vijay Sanap, Abhimanyu Arun","Crime,drama",Kundalini Entertainment
81,15-Sep,Simran,Hansal Mehta,"Kangana Ranaut, Sohum Shah, Hiten Kumar, Kishori Shahane, Rupinder Nagra",Drama,T Series and Paramhans Creations Entertainments
82,15-Sep,Lucknow Central,Ranjit Tiwari,"Farhan Akhtar, Diana Penty, Deepak Dobriyal, Gippy Grewal, Ronit Roy, Inaamulhaq, Rajesh Sharma",Drama,Viacom 18 Motion Pictures
83,15-Sep,Patel Ki Punjabi Shaadi,Sanjay Chhel,"Rishi Kapoor, Paresh Rawal, Vir Das, Prem Chopra, Payal Ghosh, Jinal Belani, Divya Seth, Bharati Achrekar, Tiku Talsania, Shilpa Shinde","Comedy,drama",Bholenath Movies and Cinekorn Entertainment
84,22-Sep,Newton,Amit Masurkar,"Rajkummar Rao, Pankaj Tripathi, Anjali Patil, Raghuvir Yadav",Dark comedy,Drishyam Films
85,22-Sep,Bhoomi,Omung Kumar,"Sanjay Dutt, Aditi Rao Hydari, Sidhant Gupta","Action,drama",T Series and Legend Studios
86,22-Sep,The Final Exit,Dhwanil Mehta,"Kunaal Roy Kapur, Archana Shastry, Elena Kazan, Reyhna Malhotra, Scarlett Wilson",Horror,Mars Entertainment
87,22-Sep,JD,Shailendra Pandey,"Govind Namdev, Aman Verma, Vedita Pratap Singh, Lalit Bisht, Arvind Gaur","Drama,thriller",Shailendra Pandey Films
88,22-Sep,Haseena Parkar,Apoorva Lakhia,"Shraddha Kapoor, Sharman Joshi, Siddhanth Kapoor, Rajesh Tailang, Satendra Bagasi, Ankur Bhatia",Biographic,Swiss Entertainment
